Geo_FIPS,County,Coast,Geo_COUNTY,SE_T150_001,SE_T150_002,SE_T150_003,SE_T150_004,SE_T150_005,Fraction with Bachelor's or greater,SE_T150_006,SE_T150_007,SE_T150_008,Per capita income
23001,Androscoggin,no,1,73344,9533,63811,34989,13677,0.186477421,4330,1086,490,23663
23003,Aroostook,no,3,51768,8187,43581,23326,8491,0.164020244,2420,544,199,20659
23005,Cumberland,yes,5,196092,12482,183610,132785,78158,0.398578218,29448,9368,3134,32277
23007,Franklin,no,7,20945,2362,18583,10879,4944,0.236046789,2099,653,328,21595
23009,Hancock,yes,9,39922,3309,36613,23392,12550,0.314363008,4685,1460,667,27227
23011,Kennebec,no,11,85451,7817,77634,46454,20872,0.244256943,7597,2212,767,25023
23013,Knox,yes,13,29547,2873,26674,15911,8385,0.283785156,2722,838,286,26504
23015,Lincoln,yes,15,25887,1995,23892,15566,8097,0.312782478,3351,845,434,28741
23017,Oxford,no,17,41249,4871,36378,18426,7544,0.182889282,2597,440,78,21735
23019,Penobscot,no,19,102884,10351,92533,55692,24109,0.234331869,8584,2731,1157,23366
23021,Piscataquis,no,21,13131,1589,11542,5868,2223,0.169294037,683,128,70,20871
23023,Sagadahoc,yes,23,25531,1977,23554,14945,7949,0.31134699,2985,819,389,28370
23025,Somerset,no,25,37384,4979,32405,16546,5751,0.153835866,1677,500,138,21105
23027,Waldo,yes,27,27520,2760,24760,14205,6763,0.245748547,2526,782,424,22706
23029,Washington,yes,29,23889,3380,20509,11265,4579,0.191678178,1595,378,147,19527
23031,York,yes,31,139600,12657,126943,80906,39105,0.280121777,13020,3384,1035,28321
